,CMIP5 MMM,LENS MMM,NCEP NCAR,ERSSTv5,HadlSST
2008,0.5946902654867254,0.4601769911504424,,0.527433628318584,0.26548672566371667
2009,0.6141592920353981,0.4991150442477875,0.23893805309734506,0.49557522123893794,0.2672566371681415
2010,0.647787610619469,0.5362831858407078,0.1097345132743362,0.3557522123893805,0.13451327433628313
2011,0.6814159292035397,0.5415929203539822,0.015929203539822967,0.3061946902654866,0.07787610619469021
2012,0.702654867256637,0.5575221238938052,0.01769911504424776,0.29911504424778745,0.07256637168141589
2013,0.7522123893805309,0.623008849557522,0.02123893805309729,0.3345132743362831,0.09734513274336276
2014,0.7858407079646016,0.6796460176991149,0.010619469026548645,0.29557522123893787,0.079646017699115
2015,0.8106194690265484,0.6707964601769908,0.08672566371681412,0.3309734513274335,0.11858407079646016
2016,0.8389380530973448,0.6672566371681413,0.07787610619469021,0.29380530973451324,0.07610619469026542
2017,0.8725663716814159,0.7044247787610619,0.1292035398230088,0.35398230088495564,0.10619469026548667
